service_id,date,holiday_name,exception_type
c_17062_b_none_d_127,20190515,Baseball_1245PM,1
c_17061_b_none_d_127,20190608,Baseball_415PM,1
c_17060_b_none_d_127,20190629,Baseball_705PM,1
c_17059_b_none_d_127,20190511,Baseball_605PM,1
c_17057_b_none_d_127,20190929,20190929,1
c_17050_b_none_d_127,20190527,Memorial Day,1
c_16869_b_19500_d_31,20190902,Labor Day,2
c_16869_b_19500_d_31,20190704,Labor Day,2
c_16869_b_19500_d_31,20190527,Labor Day,2
c_17057_b_none_d_127,20190523,20190929,1
c_17057_b_none_d_127,20190626,20190929,1
c_17057_b_none_d_127,20190724,20190929,1
c_17057_b_none_d_127,20190807,20190929,1
c_17057_b_none_d_127,20190814,20190929,1
c_17057_b_none_d_127,20190912,20190929,1
c_17057_b_none_d_127,20190926,20190929,1
c_17058_b_none_d_127,20190512,Baseball_105PM,1
c_17058_b_none_d_127,20190525,Baseball_105PM,1
c_17058_b_none_d_127,20190526,Baseball_105PM,1
c_17058_b_none_d_127,20190609,Baseball_105PM,1
c_17058_b_none_d_127,20190615,Baseball_105PM,1
c_17058_b_none_d_127,20190616,Baseball_105PM,1
c_17058_b_none_d_127,20190630,Baseball_105PM,1
c_17058_b_none_d_127,20190707,Baseball_105PM,1
c_17058_b_none_d_127,20190720,Baseball_105PM,1
c_17058_b_none_d_127,20190721,Baseball_105PM,1
c_17058_b_none_d_127,20190810,Baseball_105PM,1
c_17058_b_none_d_127,20190811,Baseball_105PM,1
c_17058_b_none_d_127,20190901,Baseball_105PM,1
c_17058_b_none_d_127,20190915,Baseball_105PM,1
c_17058_b_none_d_127,20190928,Baseball_105PM,1
c_17059_b_none_d_127,20190831,Baseball_605PM,1
c_17050_b_none_d_127,20190902,Memorial Day,1
c_17050_b_none_d_127,20190704,Memorial Day,1
c_17209_b_none_d_127,20190519,Bay to Breakers,1
