trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
305,5:45:00,5:45:00,70261,1,,0,0,0,1,,,,,1,1,,,,
305,6:01:00,6:01:00,70211,2,,0,0,17498.9839692476,1,,,,,1,1,,,,
305,6:09:00,6:09:00,70171,3,,0,0,27096.4160072460,1,,,,,1,1,,,,
305,6:19:00,6:19:00,70111,4,,0,0,42877.3773183603,1,,,,,1,1,,,,
305,6:28:00,6:28:00,70061,5,,0,0,53641.8411479114,1,,,,,1,1,,,,
305,6:47:00,6:47:00,70011,6,,0,0,75372.0274164200,1,,,,,1,1,,,,
313,6:49:00,6:49:00,70261,1,,0,0,0,1,,,,,1,1,,,,
313,7:05:00,7:05:00,70211,2,,0,0,17498.9839692476,1,,,,,1,1,,,,
313,7:13:00,7:13:00,70171,3,,0,0,27096.4160072460,1,,,,,1,1,,,,
313,7:24:00,7:24:00,70111,4,,0,0,42877.3773183603,1,,,,,1,1,,,,
313,7:32:00,7:32:00,70061,5,,0,0,53641.8411479114,1,,,,,1,1,,,,
313,7:52:00,7:52:00,70011,6,,0,0,75372.0274164200,1,,,,,1,1,,,,
323,7:49:00,7:49:00,70261,1,,0,0,0,1,,,,,1,1,,,,
323,8:05:00,8:05:00,70211,2,,0,0,17498.9839692476,1,,,,,1,1,,,,
323,8:13:00,8:13:00,70171,3,,0,0,27096.4160072460,1,,,,,1,1,,,,
323,8:25:00,8:25:00,70111,4,,0,0,42877.3773183603,1,,,,,1,1,,,,
323,8:34:00,8:34:00,70061,5,,0,0,53641.8411479114,1,,,,,1,1,,,,
323,8:54:00,8:54:00,70011,6,,0,0,75372.0274164200,1,,,,,1,1,,,,
314,6:59:00,6:59:00,70012,1,San Jose Diridon,0,0,0,1,,,,,1,1,,,,
314,7:03:00,7:03:00,70022,2,San Jose Diridon,0,0,2521.9493493327,1,,,,,1,1,,,,
314,7:16:00,7:16:00,70062,3,San Jose Diridon,0,0,21732.1939243897,1,,,,,1,1,,,,
314,7:24:00,7:24:00,70112,4,San Jose Diridon,0,0,32495.2682277601,1,,,,,1,1,,,,
314,7:31:00,7:31:00,70142,5,San Jose Diridon,0,0,40664.0634475741,1,,,,,1,1,,,,
314,7:37:00,7:37:00,70172,6,San Jose Diridon,0,0,48274.6903893797,1,,,,,1,1,,,,
314,7:50:00,7:50:00,70212,7,San Jose Diridon,0,0,57867.2730591201,1,,,,,1,1,,,,
314,8:05:00,8:05:00,70262,8,San Jose Diridon,0,0,75372.4680317899,1,,,,,1,1,,,,
324,7:59:00,7:59:00,70012,1,San Jose Diridon,0,0,0,1,,,,,1,1,,,,
324,8:03:00,8:03:00,70022,2,San Jose Diridon,0,0,2521.9493493327,1,,,,,1,1,,,,
324,8:16:00,8:16:00,70062,3,San Jose Diridon,0,0,21732.1939243897,1,,,,,1,1,,,,
324,8:24:00,8:24:00,70112,4,San Jose Diridon,0,0,32495.2682277601,1,,,,,1,1,,,,
324,8:31:00,8:31:00,70142,5,San Jose Diridon,0,0,40664.0634475741,1,,,,,1,1,,,,
324,8:37:00,8:37:00,70172,6,San Jose Diridon,0,0,48274.6903893797,1,,,,,1,1,,,,
324,8:50:00,8:50:00,70212,7,San Jose Diridon,0,0,57867.2730591201,1,,,,,1,1,,,,
324,9:05:00,9:05:00,70262,8,San Jose Diridon,0,0,75372.4680317899,1,,,,,1,1,,,,
366,16:38:00,16:38:00,70012,1,,0,0,0,1,,,,,1,1,,,,
366,16:55:00,16:55:00,70062,2,,0,0,21726.9716973672,1,,,,,1,1,,,,
366,17:01:00,17:01:00,70092,3,,0,0,28346.2017583654,1,,,,,1,1,,,,
366,17:10:00,17:10:00,70142,4,,0,0,40666.4528230743,1,,,,,1,1,,,,
366,17:17:00,17:17:00,70172,5,,0,0,48276.5948993587,1,,,,,1,1,,,,
366,17:20:00,17:20:00,70192,6,,0,0,50825.1360688414,1,,,,,1,1,,,,
366,17:31:00,17:31:00,70222,7,,0,0,62184.9804335176,1,,,,,1,1,,,,
366,17:46:00,17:46:00,70262,8,,0,0,75378.0281582291,1,,,,,1,1,,,,
366,17:51:00,17:51:00,70272,9,,0,0,78265.5052037099,1,,,,,1,1,,,,
376,17:38:00,17:38:00,70012,1,,0,0,0,1,,,,,1,1,,,,
376,17:55:00,17:55:00,70062,2,,0,0,21726.9716973672,1,,,,,1,1,,,,
376,18:01:00,18:01:00,70092,3,,0,0,28346.2017583654,1,,,,,1,1,,,,
376,18:10:00,18:10:00,70142,4,,0,0,40666.4528230743,1,,,,,1,1,,,,
376,18:17:00,18:17:00,70172,5,,0,0,48276.5948993587,1,,,,,1,1,,,,
376,18:20:00,18:20:00,70192,6,,0,0,50825.1360688414,1,,,,,1,1,,,,
376,18:31:00,18:31:00,70222,7,,0,0,62184.9804335176,1,,,,,1,1,,,,
376,18:46:00,18:46:00,70262,8,,0,0,75378.0281582291,1,,,,,1,1,,,,
376,18:51:00,18:51:00,70272,9,,0,0,78265.5052037099,1,,,,,1,1,,,,
360,16:12:00,16:12:00,70012,1,,0,0,0,1,,,,,1,1,,,,
360,16:28:00,16:28:00,70062,2,,0,0,21726.9716973672,1,,,,,1,1,,,,
360,16:36:00,16:36:00,70112,3,,0,0,32493.3507403548,1,,,,,1,1,,,,
360,16:47:00,16:47:00,70172,4,,0,0,48273.1699968923,1,,,,,1,1,,,,
360,16:56:00,16:56:00,70212,5,,0,0,57864.6616959978,1,,,,,1,1,,,,
360,17:12:00,17:12:00,70262,6,,0,0,75369.8566686599,1,,,,,1,1,,,,
370,17:16:00,17:16:00,70012,1,,0,0,0,1,,,,,1,1,,,,
370,17:34:00,17:34:00,70062,2,,0,0,21726.9716973672,1,,,,,1,1,,,,
370,17:43:00,17:43:00,70112,3,,0,0,32493.3507403548,1,,,,,1,1,,,,
370,17:56:00,17:56:00,70172,4,,0,0,48273.1699968923,1,,,,,1,1,,,,
370,18:03:00,18:03:00,70212,5,,0,0,57864.6616959978,1,,,,,1,1,,,,
